Job_Role,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18
Tech Support Engineer,SASS,Math,AR,Kotlin,GitHub,Snowflake,Apache,OOP,Computer Vision,RESTful API,SQL,Leadership,GitLab,ElasticSearch,,,,
IT Project Manager,Athena,Cloud Computing,CI,Testing,Chai,GitLab,Superset,Vulkan,Math,Nuxt.js,Django,,,,,,,
IT Consultant,iOS,Verilog,SQL,GraphQL,Matlab,Redux,Confluence,RESTful API,Airflow,Computer Vision,ETL,CI/CD,ElasticSearch,,,,,
Database Administrator,Redux,GitHub,Jest,Shell Scripting,Security,Airflow,NoSQL,Spring Boot,Hadoop,Linux CLI,VSCode,SQL,Bitbucket,OpenGL,,,,
VR Developer,Hadoop,JIRA,Spark,GraphQL,Security,Emacs,VSCode,Apache,Android,,,,,,,,,
Infrastructure Engineer,GitLab,SQL,Linux CLI,NoSQL,Webpack,TensorRT,Android,LESS,Django,Matlab,Redux,SASS,DSA,,,,,
Robotics Engineer,Android,ElasticSearch,DSA,Spark,Functional Programming,Nuxt.js,VSCode,Superset,Apache,Simulink,,,,,,,,
NLP Engineer,OpenGL,Mocha,Redis,R,Spark,Communication,MongoDB,DSA,,,,,,,,,,
Web Developer,API Management,CI/CD,Verilog,Spark,NoSQL,Matlab,Communication,GitHub,Mocha,,,,,,,,,
Game Developer,GraphQL,OpenGL,FPGA,Simulink,Looker,VSCode,OOP,Agile,LLVM,JIRA,,,,,,,,
Platform Engineer,Math,Agile,Verilog,Simulink,ROS,Kotlin,Storybook,Computer Vision,Leadership,VR,CI,RESTful API,iOS,,,,,
Test Engineer,Flask,Jest,LESS,Storybook,GraphQL,System Design,DSA,Jupyter,Debugging,Scrum,Communication,Athena,Nginx,R,Redis,,,
Data Engineer,Xamarin,ElasticSearch,Webpack,CI/CD,Security,FastAPI,Analytics,Athena,Spring Boot,PySpark,OpenGL,SQL,Next.js,,,,,
Data Governance Specialist,Nginx,ROS,DSA,Math,Shell Scripting,LLVM,Spring Boot,Xamarin,Redux,Analytics,CD,iOS,Cloud Computing,,,,,
Frontend Developer,OpenGL,Chai,Superset,CI,Looker,CI/CD,Debugging,Mocha,CD,Vulkan,R,LLVM,Redis,FastAPI,OOP,,,
Machine Learning Engineer,Hadoop,Looker,Hibernate,Vulkan,Jest,ROS,Webpack,Leadership,Athena,Security,Django,Apache,RESTful API,JIRA,TensorRT,AR,Swift,OOP
UI/UX Designer,Agile,Xamarin,Spark,Snowflake,Security,Chai,Functional Programming,CI,NoSQL,Linux CLI,OOP,,,,,,,
Ethical Hacker,Next.js,Apache,Redis,PySpark,Agile,TensorRT,Communication,Analytics,,,,,,,,,,
Realtime System Engineer,Swift,JIRA,AR,Functional Programming,Bitbucket,GitLab,Vulkan,LESS,Simulink,CI/CD,,,,,,,,
Automation Engineer,Analytics,FastAPI,Debugging,PySpark,Shell Scripting,VR,Confluence,Athena,OpenGL,,,,,,,,,
IT Project Manager,Airflow,BigQuery,ETL,Testing,Spark,GraphQL,R,Simulink,,,,,,,,,,
Database Administrator,Matlab,Spark,SASS,Shell Scripting,Android,Next.js,GraphQL,ETL,Snowflake,Babel,Storybook,Security,CI/CD,,,,,
Network Engineer,Redis,OpenGL,GraphQL,AR,Mocha,DSA,Communication,Swift,LESS,Kafka,GitHub,,,,,,,
Data Scientist,Computer Vision,CI,GitHub,GitLab,Flask,Airflow,Redux,VR,Simulink,Verilog,Scrum,FPGA,,,,,,
Network Engineer,RESTful API,Verilog,Jupyter,Snowflake,Jest,Kafka,OpenGL,Matlab,ROS,PySpark,Django,GraphQL,,,,,,
Site Reliability Engineer,Agile,Snowflake,Vulkan,VSCode,OpenGL,CI,LESS,Kafka,Superset,Xamarin,CD,Jupyter,Linux CLI,Airflow,,,,
Game Developer,Cloud Computing,OOP,R,RESTful API,Snowflake,Babel,SQL,BigQuery,OpenGL,Flask,Confluence,Swift,Bitbucket,Jest,FPGA,Vulkan,Testing,Spring Boot
NLP Engineer,Hibernate,PySpark,SQL,VSCode,Cloud Computing,AR,Communication,Nginx,Scrum,Storybook,CI/CD,Matlab,,,,,,
Machine Learning Engineer,Computer Vision,API Management,ETL,Jupyter,PySpark,CD,Leadership,iOS,Athena,Functional Programming,Matlab,,,,,,,
Business Intelligence Analyst,Android,Mocha,Computer Vision,LLVM,OpenGL,System Design,Airflow,DSA,Kotlin,Storybook,Apache,Communication,BigQuery,JIRA,CI/CD,GraphQL,Django,Flask
AI Engineer,R,Kotlin,Shell Scripting,AR,Jest,Matlab,Looker,Chai,API Management,LLVM,Nginx,Bitbucket,Hibernate,FastAPI,BigQuery,Apache,Athena,
IT Project Manager,Xamarin,GitLab,Kotlin,Webpack,Functional Programming,Leadership,Next.js,Hadoop,Redux,ETL,,,,,,,,
Infrastructure Engineer,LESS,OpenGL,Agile,Vulkan,Superset,Functional Programming,GitLab,AR,Spring Boot,FPGA,,,,,,,,
Tech Evangelist,Debugging,GraphQL,Spring Boot,Next.js,Android,Security,TensorRT,iOS,Xamarin,Babel,Simulink,Spark,Functional Programming,Confluence,,,,
Digital Forensics Analyst,Android,Kafka,Testing,Agile,VR,Bitbucket,PySpark,Computer Vision,Spark,Kotlin,Flask,FPGA,Functional Programming,System Design,Superset,Jupyter,Hibernate,ElasticSearch
Data Governance Specialist,Superset,Next.js,Hibernate,Leadership,Storybook,DSA,Scrum,API Management,Babel,LESS,Computer Vision,CI,ETL,Django,Security,Mocha,VSCode,
Ethical Hacker,Simulink,Looker,AR,Testing,Vulkan,FastAPI,Analytics,LESS,CD,,,,,,,,,
Web3 Developer,Functional Programming,Agile,Nuxt.js,API Management,Webpack,RESTful API,Looker,Spark,LESS,Xamarin,Computer Vision,Testing,,,,,,
Realtime System Engineer,Swift,Flask,Emacs,Redis,SASS,ROS,Superset,Webpack,Communication,Looker,Math,GitHub,,,,,,
Data Scientist,Redis,Computer Vision,ElasticSearch,Hadoop,AR,ETL,ROS,Nginx,,,,,,,,,,
Ethical Hacker,TensorRT,Android,Babel,RESTful API,Emacs,Next.js,Airflow,Redux,JIRA,Testing,Kotlin,OpenGL,Scrum,Mocha,,,,
Compliance Engineer,Math,Kafka,FPGA,System Design,Bitbucket,Android,Airflow,Jupyter,Apache,,,,,,,,,
IT Consultant,Snowflake,Django,Math,Spring Boot,Functional Programming,Webpack,R,Scrum,Simulink,Spark,Redis,CI/CD,VR,BigQuery,Hibernate,,,
Realtime System Engineer,Debugging,FastAPI,Hibernate,Computer Vision,Nuxt.js,Linux CLI,PySpark,Confluence,Swift,OpenGL,,,,,,,,
Streaming Engineer,Spring Boot,Emacs,LESS,SASS,Django,Scrum,TensorRT,Redux,Bitbucket,Android,CI/CD,Babel,OpenGL,Analytics,JIRA,Apache,Chai,API Management
Compliance Engineer,OpenGL,NoSQL,Spring Boot,ROS,Apache,MongoDB,PySpark,Linux CLI,VSCode,SASS,GitLab,LLVM,CD,ETL,,,,
System Administrator,FPGA,FastAPI,System Design,ROS,Storybook,Agile,iOS,LLVM,Linux CLI,Nuxt.js,Snowflake,Chai,Spring Boot,,,,,
Embedded Systems Engineer,Athena,API Management,Snowflake,Next.js,Looker,Kafka,BigQuery,VSCode,Mocha,Jupyter,LESS,Nginx,Apache,,,,,
Platform Engineer,Superset,FastAPI,Leadership,Scrum,Computer Vision,Hibernate,Cloud Computing,Athena,GitLab,Nginx,Matlab,Confluence,Nuxt.js,,,,,
Infrastructure Engineer,Nginx,Django,ROS,Superset,Athena,Security,Simulink,Cloud Computing,Jest,,,,,,,,,
Blockchain Developer,Redux,Kafka,Next.js,OpenGL,R,FastAPI,Matlab,OOP,Debugging,iOS,Airflow,Emacs,NoSQL,JIRA,,,,
Integration Engineer,Security,Simulink,Spring Boot,Bitbucket,GitLab,Chai,CI,Kotlin,Airflow,Scrum,GraphQL,Hibernate,,,,,,
AI Researcher,Mocha,ROS,GraphQL,Computer Vision,Matlab,ElasticSearch,Functional Programming,Hadoop,Leadership,Security,BigQuery,Kotlin,RESTful API,TensorRT,Confluence,LLVM,,
IT Consultant,Redis,SASS,SQL,LESS,Vulkan,Agile,GraphQL,Confluence,Nginx,,,,,,,,,
DevOps Engineer,Debugging,GitHub,AR,CI,Redux,Shell Scripting,Matlab,Looker,,,,,,,,,,
Tech Support Engineer,Agile,SASS,Kafka,Hibernate,Shell Scripting,PySpark,AR,Simulink,Swift,Flask,Communication,MongoDB,Vulkan,,,,,
AI Engineer,Simulink,Scrum,Analytics,Chai,Nginx,Superset,ElasticSearch,OOP,Redux,,,,,,,,,
Machine Learning Engineer,Verilog,Simulink,Computer Vision,Shell Scripting,Communication,System Design,AR,Redux,Confluence,,,,,,,,,
AI Researcher,Testing,Nginx,Linux CLI,Chai,Django,Security,MongoDB,Jupyter,Emacs,,,,,,,,,
AI Researcher,API Management,Apache,Nginx,Math,Mocha,Webpack,Debugging,SQL,SASS,ElasticSearch,GraphQL,RESTful API,Chai,Agile,GitLab,,,
Cybersecurity Analyst,SASS,Redux,Superset,iOS,Android,NoSQL,Security,Bitbucket,Webpack,Hibernate,TensorRT,CD,GitLab,,,,,
Automation Engineer,Hadoop,Storybook,Scrum,iOS,VSCode,Simulink,Babel,Leadership,Hibernate,,,,,,,,,
Robotics Engineer,Jupyter,Vulkan,Nginx,GraphQL,Spark,Nuxt.js,VSCode,Xamarin,Testing,Computer Vision,TensorRT,ElasticSearch,System Design,Linux CLI,ETL,Django,,
Information Security Analyst,JIRA,Superset,BigQuery,Math,Hibernate,Verilog,Swift,Airflow,Hadoop,Redis,SASS,Nginx,RESTful API,ROS,Next.js,CD,,
Backend Developer,JIRA,CI,Athena,iOS,VSCode,Kotlin,Matlab,Analytics,BigQuery,Flask,FastAPI,PySpark,,,,,,
AI Engineer,LESS,Mocha,Emacs,Jupyter,VSCode,OpenGL,Redis,Confluence,Simulink,FPGA,BigQuery,Security,Xamarin,Airflow,CD,Testing,Kotlin,
Embedded Systems Engineer,Swift,Verilog,Kotlin,GraphQL,GitLab,TensorRT,BigQuery,Redis,Agile,LESS,SQL,,,,,,,
AI Engineer,Hibernate,CI,CD,GitHub,Next.js,Vulkan,Hadoop,DSA,Math,Xamarin,VSCode,Chai,,,,,,
Cloud Security Engineer,GitHub,CI,Chai,SASS,Snowflake,Superset,ElasticSearch,Flask,Kafka,Apache,Scrum,Confluence,Math,,,,,
Cybersecurity Analyst,Confluence,Shell Scripting,Snowflake,Superset,API Management,TensorRT,Hadoop,CI,DSA,R,FPGA,Debugging,Analytics,ElasticSearch,Django,Communication,,
Web3 Developer,Analytics,Flask,Cloud Computing,NoSQL,Math,Apache,Vulkan,Athena,,,,,,,,,,
Technical Lead,Communication,iOS,CI/CD,Shell Scripting,Xamarin,Django,GraphQL,Emacs,Looker,,,,,,,,,
Test Engineer,Kotlin,VR,Confluence,Cloud Computing,Matlab,Django,OpenGL,GraphQL,CI/CD,iOS,R,Mocha,Debugging,,,,,
Realtime System Engineer,ElasticSearch,Matlab,Apache,ROS,SQL,Superset,Debugging,Mocha,Security,GitLab,Hibernate,Hadoop,,,,,,
Site Admin,Looker,Testing,TensorRT,Computer Vision,Shell Scripting,OOP,Math,Jupyter,API Management,Vulkan,DSA,iOS,,,,,,
Game Developer,Storybook,JIRA,Mocha,Redis,Android,Looker,Swift,FPGA,Jest,Leadership,Django,Xamarin,,,,,,
Site Reliability Engineer,CI/CD,Looker,Android,Airflow,Hibernate,Linux CLI,LLVM,API Management,Jest,,,,,,,,,
Machine Learning Engineer,JIRA,Hibernate,BigQuery,Simulink,Emacs,Apache,Nginx,Analytics,NoSQL,GitLab,R,Bitbucket,API Management,Vulkan,,,,
Data Analyst,SASS,LESS,ROS,Security,Airflow,BigQuery,RESTful API,R,Functional Programming,Nginx,CI,Looker,MongoDB,Matlab,Storybook,ElasticSearch,,
Computer Vision Engineer,Functional Programming,R,Redux,Athena,OOP,Hadoop,Xamarin,Debugging,Leadership,PySpark,Snowflake,Hibernate,Bitbucket,Storybook,BigQuery,TensorRT,Superset,System Design
DevOps Engineer,Functional Programming,Computer Vision,Security,System Design,ROS,PySpark,Vulkan,SASS,Bitbucket,,,,,,,,,
Fullstack Developer,Jest,Math,Snowflake,NoSQL,Shell Scripting,RESTful API,FPGA,Apache,Agile,Nginx,,,,,,,,
Mobile Developer,Kotlin,Matlab,Kafka,JIRA,OpenGL,API Management,Cloud Computing,Xamarin,DSA,,,,,,,,,
Platform Engineer,OpenGL,Linux CLI,Babel,Apache,Django,Matlab,Jest,VSCode,iOS,PySpark,,,,,,,,
Cloud Security Engineer,Redux,FastAPI,Chai,Hadoop,Leadership,RESTful API,CI,Redis,FPGA,,,,,,,,,
Backend Developer,Looker,CI,LESS,Kotlin,CI/CD,GitHub,ROS,Cloud Computing,Functional Programming,ElasticSearch,Math,Nuxt.js,DSA,Scrum,FastAPI,GraphQL,Computer Vision,
Linux Administrator,RESTful API,VSCode,PySpark,Analytics,GitLab,Linux CLI,CI,Nginx,Computer Vision,Redux,LESS,LLVM,Emacs,Debugging,OpenGL,FPGA,Airflow,R
AR/VR Developer,ROS,Superset,OpenGL,Hadoop,CI,Simulink,Emacs,Scrum,Confluence,RESTful API,Kotlin,Next.js,Communication,Swift,Matlab,VR,Nuxt.js,TensorRT
Research Engineer,VR,BigQuery,Flask,Simulink,Vulkan,SQL,Matlab,ROS,OOP,Next.js,,,,,,,,
Research Engineer,Snowflake,AR,Hadoop,Jupyter,Simulink,OOP,Debugging,ElasticSearch,LESS,Linux CLI,Swift,Verilog,,,,,,
Big Data Engineer,PySpark,Snowflake,Hibernate,JIRA,Simulink,Mocha,Math,Next.js,Confluence,OOP,API Management,Bitbucket,Chai,ETL,VSCode,Communication,Babel,MongoDB
Ethical Hacker,Spark,Vulkan,Superset,ETL,Mocha,Security,Debugging,Verilog,FastAPI,Storybook,Apache,Kotlin,Next.js,Spring Boot,OpenGL,Scrum,PySpark,
Network Engineer,Nuxt.js,Hadoop,SASS,VSCode,Emacs,VR,Webpack,Jest,AR,Babel,Bitbucket,Debugging,LLVM,,,,,
Embedded Systems Engineer,Mocha,CD,FPGA,Jupyter,Agile,Computer Vision,Nginx,Verilog,Android,Swift,API Management,Nuxt.js,ROS,Shell Scripting,BigQuery,Emacs,,
AR/VR Developer,Communication,Webpack,CI,System Design,DSA,Redis,Testing,SASS,Mocha,VSCode,Django,Confluence,,,,,,
Robotics Engineer,Spring Boot,Simulink,DSA,Computer Vision,Redux,Apache,GitHub,System Design,Debugging,Cloud Computing,Functional Programming,Nuxt.js,Swift,Security,Matlab,OpenGL,,
Technical Lead,Leadership,API Management,LESS,VR,AR,Linux CLI,NoSQL,CI,LLVM,,,,,,,,,
Digital Forensics Analyst,Nginx,LESS,Shell Scripting,PySpark,Superset,Communication,Functional Programming,Hibernate,Testing,Redux,AR,,,,,,,
System Administrator,Next.js,Simulink,Communication,Superset,Emacs,ElasticSearch,OOP,TensorRT,PySpark,,,,,,,,,
IoT Engineer,Django,NoSQL,Snowflake,Babel,CI,LESS,Nginx,OOP,API Management,Flask,Verilog,,,,,,,
Research Engineer,Debugging,Swift,OpenGL,Computer Vision,Storybook,Looker,Matlab,Cloud Computing,,,,,,,,,,
Big Data Engineer,VSCode,GitHub,OOP,Functional Programming,Agile,Cloud Computing,RESTful API,NoSQL,Kafka,Simulink,SQL,LESS,ROS,,,,,
Security Engineer,Django,Leadership,Verilog,Looker,Shell Scripting,FastAPI,SASS,Redis,Math,JIRA,Spark,PySpark,OpenGL,Spring Boot,,,,
Data Scientist,Bitbucket,TensorRT,BigQuery,Hibernate,ROS,PySpark,Django,Linux CLI,API Management,,,,,,,,,
Infrastructure Engineer,Kafka,Snowflake,Linux CLI,ElasticSearch,R,Vulkan,Apache,FPGA,MongoDB,Shell Scripting,,,,,,,,
NLP Engineer,LESS,VR,LLVM,Flask,GitHub,Superset,Leadership,SQL,MongoDB,TensorRT,Vulkan,ETL,Apache,CD,Hadoop,Spring Boot,FastAPI,
Game Developer,Math,Leadership,OOP,Vulkan,ElasticSearch,Verilog,Snowflake,ETL,AR,CD,Webpack,Athena,Cloud Computing,,,,,
Fullstack Developer,VR,Chai,Functional Programming,Hibernate,Spark,CI/CD,RESTful API,Jupyter,Nuxt.js,MongoDB,,,,,,,,
Database Administrator,Emacs,Looker,Nuxt.js,BigQuery,PySpark,Airflow,GitHub,Testing,ROS,Agile,iOS,Babel,Django,Spark,OOP,Kotlin,Webpack,Vulkan
Streaming Engineer,Spring Boot,GitHub,Kafka,Testing,Jest,Redux,Xamarin,FPGA,Communication,Airflow,SQL,ElasticSearch,OOP,Verilog,,,,
Fullstack Developer,Spring Boot,Bitbucket,ETL,TensorRT,Nuxt.js,OOP,Babel,System Design,VR,PySpark,DSA,GraphQL,Xamarin,,,,,
DevOps Engineer,NoSQL,Android,Storybook,iOS,Math,Next.js,Debugging,Swift,ROS,Flask,FastAPI,R,Confluence,Analytics,Webpack,,,
AI Engineer,Matlab,PySpark,GraphQL,Analytics,CD,MongoDB,Apache,LESS,Confluence,Chai,Spring Boot,FPGA,Hadoop,RESTful API,Snowflake,Emacs,Next.js,
Technical Lead,DSA,Xamarin,Agile,Mocha,Leadership,GraphQL,iOS,VR,SASS,Scrum,Flask,MongoDB,System Design,Linux CLI,,,,
Test Engineer,Functional Programming,GraphQL,Flask,Scrum,Analytics,PySpark,ElasticSearch,Linux CLI,,,,,,,,,,
Machine Learning Engineer,Communication,Emacs,Simulink,Matlab,ElasticSearch,OOP,CI/CD,CI,Mocha,Confluence,LLVM,Android,Redis,GraphQL,Xamarin,Agile,Nuxt.js,Next.js
Site Reliability Engineer,Airflow,SQL,Emacs,SASS,Mocha,GitHub,PySpark,TensorRT,CD,,,,,,,,,
IT Project Manager,Cloud Computing,AR,Storybook,LESS,ROS,Shell Scripting,Babel,Kotlin,Jest,Looker,,,,,,,,
Tech Evangelist,Functional Programming,Math,Hadoop,Simulink,Scrum,Shell Scripting,Airflow,Agile,JIRA,Bitbucket,Chai,GitHub,CI/CD,Communication,,,,
Site Reliability Engineer,Redux,GitLab,Linux CLI,System Design,Security,LESS,Bitbucket,Apache,,,,,,,,,,
Ethical Hacker,DSA,ROS,Vulkan,Babel,Apache,Hadoop,Athena,System Design,Android,Verilog,Swift,Jupyter,PySpark,NoSQL,CI,Chai,Matlab,
Fullstack Developer,iOS,Nuxt.js,Android,Computer Vision,GitHub,Agile,OOP,CI,SASS,DSA,VSCode,Snowflake,,,,,,
Data Scientist,Flask,Jupyter,Spark,LLVM,OOP,SASS,Android,Confluence,ETL,Testing,Nuxt.js,Agile,Snowflake,Storybook,,,,
Platform Engineer,Cloud Computing,FastAPI,Vulkan,Babel,Kafka,CI/CD,Hibernate,OOP,Kotlin,Agile,Bitbucket,Snowflake,Superset,Android,,,,
System Administrator,Nginx,ETL,CD,Looker,Jupyter,Snowflake,Airflow,Cloud Computing,,,,,,,,,,
Game Designer,R,FastAPI,Superset,Confluence,Cloud Computing,Redis,Mocha,Testing,SASS,Vulkan,Agile,Hadoop,,,,,,
Network Engineer,Hibernate,RESTful API,Matlab,GraphQL,iOS,Confluence,Swift,Debugging,OOP,Scrum,Android,MongoDB,,,,,,
Big Data Engineer,Confluence,Athena,Security,Jest,Scrum,Webpack,Functional Programming,Math,Storybook,FPGA,Matlab,Redux,GraphQL,,,,,
Business Intelligence Analyst,Chai,Kafka,Debugging,Airflow,Xamarin,CI,Jest,Swift,TensorRT,,,,,,,,,
System Administrator,Matlab,NoSQL,Testing,Spark,Mocha,Redux,Android,Shell Scripting,Superset,LESS,LLVM,DSA,Chai,Storybook,Analytics,Looker,MongoDB,
BI Developer,Matlab,DSA,Shell Scripting,Webpack,Emacs,Redis,Testing,GitLab,Kafka,Cloud Computing,Jupyter,,,,,,,
Software Engineer,Storybook,Hibernate,Agile,TensorRT,GitHub,Redis,Emacs,Scrum,,,,,,,,,,
Network Engineer,PySpark,Mocha,OpenGL,CI/CD,BigQuery,Kafka,Testing,Math,MongoDB,Next.js,Vulkan,Webpack,ElasticSearch,GitLab,DSA,Debugging,R,
Blockchain Developer,Redis,ROS,FPGA,Scrum,Snowflake,NoSQL,Apache,Computer Vision,CI/CD,CI,FastAPI,Looker,SASS,TensorRT,,,,
Scrum Master,Superset,Security,Storybook,FastAPI,Redis,Jest,Scrum,Matlab,Emacs,CD,LESS,Apache,Nginx,CI/CD,JIRA,AR,,
IoT Engineer,Spark,Scrum,Webpack,Computer Vision,PySpark,Chai,LLVM,AR,Jest,OpenGL,Jupyter,BigQuery,SQL,ElasticSearch,Testing,,,
Technical Lead,PySpark,GitLab,Next.js,Apache,LESS,OpenGL,Emacs,Snowflake,Athena,,,,,,,,,
IT Consultant,iOS,Leadership,VSCode,FastAPI,Security,Hadoop,AR,Kotlin,Webpack,Kafka,Superset,Android,,,,,,
AI Researcher,API Management,Spring Boot,Verilog,Communication,Apache,Math,Looker,Next.js,Testing,Jupyter,Debugging,Matlab,,,,,,
Backend Developer,FPGA,Confluence,Xamarin,Android,Matlab,SQL,ElasticSearch,Hadoop,LESS,Bitbucket,,,,,,,,
Linux Administrator,iOS,Debugging,Xamarin,GraphQL,Snowflake,Linux CLI,Vulkan,Superset,VSCode,Spark,DSA,ElasticSearch,Hibernate,SASS,Looker,LESS,,
Technical Lead,Bitbucket,ROS,Next.js,Vulkan,Looker,Redis,OOP,BigQuery,PySpark,VSCode,Analytics,,,,,,,
Game Developer,System Design,BigQuery,Simulink,Scrum,GitHub,Spark,Hadoop,Athena,CD,SASS,Bitbucket,DSA,Kafka,R,Hibernate,Testing,Cloud Computing,
Network Engineer,Django,Security,OpenGL,System Design,Apache,Android,MongoDB,Spark,Redux,R,Hadoop,Looker,Nuxt.js,,,,,
Ethical Hacker,Nginx,Analytics,Jupyter,PySpark,Storybook,SASS,Shell Scripting,Agile,Leadership,Testing,System Design,Bitbucket,GitLab,,,,,
Tech Evangelist,GitHub,FastAPI,Mocha,Math,Leadership,Xamarin,OpenGL,Nginx,OOP,,,,,,,,,
Research Engineer,Chai,Airflow,FPGA,PySpark,Jest,JIRA,Cloud Computing,Functional Programming,Computer Vision,DSA,Emacs,Leadership,Bitbucket,,,,,
Cloud Security Engineer,PySpark,R,Shell Scripting,Kotlin,Airflow,RESTful API,Looker,FastAPI,,,,,,,,,,
Infrastructure Engineer,Nuxt.js,FPGA,GitLab,LLVM,Spring Boot,GraphQL,Cloud Computing,GitHub,Android,Leadership,Agile,SQL,MongoDB,iOS,Jest,Airflow,Swift,
AI Engineer,ROS,Agile,Math,Swift,MongoDB,Kafka,Flask,OpenGL,LLVM,Jest,Shell Scripting,Simulink,Redux,,,,,
BI Developer,Django,ElasticSearch,Next.js,Leadership,Scrum,Airflow,JIRA,Security,Spark,DSA,Babel,Bitbucket,,,,,,
Information Security Analyst,Analytics,Scrum,Kotlin,Xamarin,Linux CLI,Testing,SQL,Spark,Hadoop,Leadership,PySpark,Confluence,Snowflake,Looker,,,,
Realtime System Engineer,Security,Simulink,Redux,System Design,Cloud Computing,Vulkan,FPGA,MongoDB,Spring Boot,Hadoop,FastAPI,Next.js,Spark,Looker,Nginx,Communication,,
Data Analyst,Agile,Airflow,Math,MongoDB,OpenGL,Jupyter,Redis,Shell Scripting,Chai,DSA,RESTful API,CI/CD,Swift,Storybook,Security,,,
Game Developer,CI,FastAPI,Storybook,Airflow,Matlab,Kafka,System Design,Communication,Looker,,,,,,,,,
Mobile Developer,Spark,Nginx,Verilog,Debugging,Redux,Bitbucket,iOS,Kafka,,,,,,,,,,
Tech Support Engineer,Security,CI,Spring Boot,Babel,System Design,Spark,Next.js,OpenGL,Matlab,FPGA,DSA,Airflow,Cloud Computing,Kotlin,Jest,Hadoop,GraphQL,RESTful API
Mobile Developer,R,ElasticSearch,Emacs,Next.js,GitHub,Redis,BigQuery,ROS,Linux CLI,Redux,Kotlin,FastAPI,OOP,Scrum,,,,
Data Scientist,Functional Programming,OpenGL,Math,NoSQL,Looker,Communication,CI,Linux CLI,PySpark,Xamarin,Airflow,Jupyter,Kotlin,Next.js,,,,
Business Intelligence Analyst,ETL,Testing,Babel,GitLab,Xamarin,FastAPI,Leadership,API Management,Spring Boot,AR,Functional Programming,JIRA,PySpark,VSCode,ROS,,,
AI Engineer,Apache,Hibernate,OpenGL,Matlab,NoSQL,Superset,MongoDB,Math,Communication,API Management,Django,Mocha,Redis,Kotlin,GitHub,,,
IT Consultant,Shell Scripting,Jest,ETL,GitHub,Agile,Looker,Hadoop,SQL,OOP,Snowflake,OpenGL,Nginx,,,,,,
Game Designer,OOP,Shell Scripting,ROS,Debugging,ElasticSearch,Security,SQL,Snowflake,MongoDB,Jest,BigQuery,JIRA,Emacs,,,,,
Cybersecurity Analyst,Django,Scrum,Superset,CD,GraphQL,Emacs,Matlab,Leadership,System Design,Shell Scripting,Communication,Next.js,,,,,,
Product Manager,Xamarin,Next.js,ElasticSearch,DSA,Computer Vision,Flask,CI/CD,Bitbucket,Hibernate,Storybook,AR,Nuxt.js,Snowflake,,,,,
Streaming Engineer,Linux CLI,Nginx,Kotlin,Kafka,Communication,Athena,Flask,AR,,,,,,,,,,
UI/UX Designer,NoSQL,DSA,Jupyter,BigQuery,CD,Kotlin,API Management,Mocha,FPGA,Testing,Swift,Matlab,Simulink,Spark,Confluence,Vulkan,,
AI Researcher,ElasticSearch,BigQuery,Spark,Apache,ETL,SQL,Airflow,PySpark,Communication,NoSQL,Functional Programming,Cloud Computing,Debugging,Redux,LESS,,,
DevOps Engineer,Hadoop,Functional Programming,DSA,Debugging,OOP,Bitbucket,Math,FPGA,Mocha,ROS,Redux,CI/CD,,,,,,
Frontend Developer,GitLab,PySpark,Computer Vision,Scrum,R,Redis,Matlab,System Design,CI,Superset,VSCode,ElasticSearch,Webpack,,,,,
Streaming Engineer,FastAPI,Nginx,CI/CD,Redis,Webpack,RESTful API,API Management,LLVM,CI,Django,,,,,,,,
QA Engineer,Snowflake,Testing,Agile,API Management,Analytics,Shell Scripting,CI,RESTful API,Athena,SQL,Airflow,Chai,FastAPI,Functional Programming,,,,
IoT Engineer,FPGA,Agile,Hadoop,Computer Vision,Linux CLI,SASS,VSCode,OpenGL,Communication,Math,FastAPI,MongoDB,Swift,Android,DSA,,,
Web Developer,NoSQL,Spring Boot,GitLab,ElasticSearch,BigQuery,FPGA,Agile,JIRA,Confluence,Athena,OOP,Chai,Babel,Linux CLI,,,,
Data Governance Specialist,Math,VSCode,RESTful API,DSA,Security,Kafka,Hadoop,LLVM,Mocha,CI/CD,ROS,ElasticSearch,Redux,Swift,NoSQL,,,
IoT Engineer,Looker,Jest,R,Functional Programming,TensorRT,CI,DSA,Hadoop,FastAPI,Spring Boot,Computer Vision,Snowflake,,,,,,
Web3 Developer,Babel,Swift,Hibernate,Emacs,Airflow,Linux CLI,Redis,Django,Nginx,LLVM,,,,,,,,
AI Engineer,Communication,Security,OOP,Jupyter,Emacs,Analytics,AR,Computer Vision,Kotlin,Hadoop,LESS,Verilog,Simulink,Jest,Confluence,,,
Digital Forensics Analyst,SQL,Jupyter,Jest,Kafka,Django,Debugging,Leadership,Computer Vision,MongoDB,Hadoop,DSA,AR,,,,,,
Robotics Engineer,BigQuery,Redis,Scrum,CD,Chai,LLVM,FPGA,SASS,GitHub,,,,,,,,,
Data Governance Specialist,Spark,Kotlin,Functional Programming,Computer Vision,OOP,Next.js,Flask,Confluence,Emacs,GitLab,Superset,Agile,Nuxt.js,Redis,AR,FastAPI,Xamarin,CI
UI/UX Designer,Agile,Android,RESTful API,Jest,Spark,AR,Superset,Django,Hibernate,Bitbucket,Looker,Jupyter,Babel,,,,,
